origin,year,month,day,hour,temp,dewp,humid,wind_speed,time_hour
EWR,2013,9,7,8,64.04,51.08,62.71,5.7539,07/09/2013 08:00
EWR,2013,9,7,9,68,46.04,45.26,6.90468,07/09/2013 09:00
EWR,2013,9,7,10,73.04,46.94,39.44,6.90468,07/09/2013 10:00
EWR,2013,9,7,11,75.02,44.06,33.08,12.65858,07/09/2013 11:00
EWR,2013,9,7,12,77,46.94,34.55,10.35702,07/09/2013 12:00
EWR,2013,9,7,13,78.98,42.98,27.84,4.60312,07/09/2013 13:00
EWR,2013,9,7,14,78.98,44.06,29.01,6.90468,07/09/2013 14:00
EWR,2013,9,7,15,80.06,44.96,28.98,9.20624,07/09/2013 15:00
EWR,2013,9,7,16,80.06,44.96,28.98,6.90468,07/09/2013 16:00
EWR,2013,9,7,17,78.08,46.04,32.22,10.35702,07/09/2013 17:00
EWR,2013,9,7,18,77,48.92,37.21,10.35702,07/09/2013 18:00
EWR,2013,9,7,19,75.02,48.92,39.75,9.20624,07/09/2013 19:00
EWR,2013,9,7,20,73.94,48.02,39.85,6.90468,07/09/2013 20:00
EWR,2013,9,7,21,71.96,51.98,49.36,5.7539,07/09/2013 21:00
EWR,2013,9,7,22,71.06,53.06,52.95,4.60312,07/09/2013 22:00
EWR,2013,9,7,23,71.06,51.08,49.23,6.90468,07/09/2013 23:00
EWR,2013,9,8,0,69.98,51.98,52.8,10.35702,08/09/2013
EWR,2013,9,8,1,69.08,53.96,58.56,9.20624,08/09/2013 01:00
EWR,2013,9,8,2,69.08,55.94,62.93,9.20624,08/09/2013 02:00
EWR,2013,9,8,3,69.08,57.02,65.44,9.20624,08/09/2013 03:00
EWR,2013,9,8,4,68,57.02,67.91,10.35702,08/09/2013 04:00
EWR,2013,9,8,5,66.92,57.92,72.81,9.20624,08/09/2013 05:00
EWR,2013,9,8,6,66.92,57.92,72.81,8.05546,08/09/2013 06:00
EWR,2013,9,8,7,66.92,57.92,72.81,6.90468,08/09/2013 07:00
EWR,2013,9,8,8,71.06,59,65.67,6.90468,08/09/2013 08:00
EWR,2013,9,8,9,71.96,60.08,66.2,9.20624,08/09/2013 09:00
EWR,2013,9,8,10,78.08,62.06,57.87,9.20624,08/09/2013 10:00
EWR,2013,9,8,11,80.96,62.96,54.35,9.20624,08/09/2013 11:00
EWR,2013,9,8,12,78.98,62.06,56.18,14.96014,08/09/2013 12:00
EWR,2013,9,8,13,82.94,60.98,47.52,16.11092,08/09/2013 13:00
EWR,2013,9,8,14,82.94,57.02,41.25,23.0156,08/09/2013 14:00
EWR,2013,9,8,15,82.94,55.94,39.67,20.71404,08/09/2013 15:00
EWR,2013,9,8,16,80.96,53.06,38.08,16.11092,08/09/2013 16:00
EWR,2013,9,8,17,78.98,46.04,31.28,16.11092,08/09/2013 17:00
EWR,2013,9,8,18,75.92,42.08,29.76,17.2617,08/09/2013 18:00
EWR,2013,9,8,19,73.04,42.98,33.92,16.11092,08/09/2013 19:00
EWR,2013,9,8,20,71.06,42.08,35.04,16.11092,08/09/2013 20:00
EWR,2013,9,8,21,68,42.98,40.28,14.96014,08/09/2013 21:00
EWR,2013,9,8,22,66.02,42.98,43.13,17.2617,08/09/2013 22:00
EWR,2013,9,8,23,62.96,44.06,50.03,11.5078,08/09/2013 23:00
EWR,2013,9,9,0,62.06,42.98,49.55,6.90468,09/09/2013
EWR,2013,9,9,1,57.92,42.98,57.42,8.05546,09/09/2013 01:00
EWR,2013,9,9,2,57.02,42.98,59.31,9.20624,09/09/2013 02:00
EWR,2013,9,9,3,57.02,44.06,61.81,8.05546,09/09/2013 03:00
EWR,2013,9,9,4,55.04,44.06,66.41,9.20624,09/09/2013 04:00
EWR,2013,9,9,5,55.94,44.06,64.28,6.90468,09/09/2013 05:00
EWR,2013,9,9,6,55.04,44.06,66.41,8.05546,09/09/2013 06:00
EWR,2013,9,9,7,57.92,44.96,61.93,9.20624,09/09/2013 07:00
EWR,2013,9,9,8,62.96,46.94,55.8,6.90468,09/09/2013 08:00
EWR,2013,9,9,9,66.02,44.06,44.95,5.7539,09/09/2013 09:00
EWR,2013,9,9,10,68,42.98,40.28,6.90468,09/09/2013 10:00
EWR,2013,9,9,11,68,46.04,45.26,5.7539,09/09/2013 11:00
EWR,2013,9,9,12,69.08,50,50.6,8.05546,09/09/2013 12:00
EWR,2013,9,9,13,69.08,51.98,54.45,8.05546,09/09/2013 13:00
EWR,2013,9,9,14,69.98,53.06,54.94,9.20624,09/09/2013 14:00
EWR,2013,9,9,15,71.06,53.06,52.95,8.05546,09/09/2013 15:00
EWR,2013,9,9,16,69.98,51.98,52.8,9.20624,09/09/2013 16:00
EWR,2013,9,9,17,69.08,51.98,54.45,8.05546,09/09/2013 17:00
EWR,2013,9,9,18,69.08,53.96,58.56,11.5078,09/09/2013 18:00
EWR,2013,9,9,19,68,55.04,63.21,10.35702,09/09/2013 19:00
EWR,2013,9,9,20,68,55.94,65.31,9.20624,09/09/2013 20:00
EWR,2013,9,9,21,66.92,57.92,72.81,9.20624,09/09/2013 21:00
EWR,2013,9,9,22,66.92,59,75.69,5.7539,09/09/2013 22:00
EWR,2013,9,9,23,68,60.08,75.78,10.35702,09/09/2013 23:00
EWR,2013,9,10,0,68,60.08,75.78,9.20624,10/09/2013
EWR,2013,9,10,1,68,60.98,78.25,12.65858,10/09/2013 01:00
EWR,2013,9,10,2,69.08,62.06,78.33,9.20624,10/09/2013 02:00
EWR,2013,9,10,3,68,62.96,83.91,10.35702,10/09/2013 03:00
EWR,2013,9,10,4,69.08,62.96,80.86,9.20624,10/09/2013 04:00
EWR,2013,9,10,5,69.8,62.96,80.86,9.20624,10/09/2013 05:00
EWR,2013,9,10,6,69.98,64.04,81.44,11.5078,10/09/2013 06:00
EWR,2013,9,10,7,71.06,66.02,84.1,9.20624,10/09/2013 07:00
EWR,2013,9,10,8,71.96,66.92,84.16,11.5078,10/09/2013 08:00
EWR,2013,9,10,9,75.2,68,78.34,14.96014,10/09/2013 09:00
EWR,2013,9,10,10,78.08,69.08,78.34,13.80936,10/09/2013 10:00
EWR,2013,9,10,11,78.08,69.08,73.88,11.5078,10/09/2013 11:00
EWR,2013,9,10,12,82.94,69.08,63.03,11.5078,10/09/2013 12:00
EWR,2013,9,10,13,84.92,69.98,65.74,10.35702,10/09/2013 13:00
EWR,2013,9,10,14,87.08,69.98,56.92,11.5078,10/09/2013 14:00
EWR,2013,9,10,15,89.06,71.06,55.46,14.96014,10/09/2013 15:00
EWR,2013,9,10,16,87.98,71.06,57.39,9.20624,10/09/2013 16:00
EWR,2013,9,10,17,86,71.06,61.12,12.65858,10/09/2013 17:00
EWR,2013,9,10,18,84.92,71.06,63.27,13.80936,10/09/2013 18:00
EWR,2013,9,10,19,84.02,71.06,65.13,12.65858,10/09/2013 19:00
EWR,2013,9,10,20,82.94,71.96,69.53,6.90468,10/09/2013 20:00
EWR,2013,9,10,21,80.96,71.96,74.15,9.20624,10/09/2013 21:00
EWR,2013,9,10,22,80.96,71.96,74.15,9.20624,10/09/2013 22:00
EWR,2013,9,10,23,78.98,71.96,79.12,9.20624,10/09/2013 23:00
EWR,2013,9,11,0,78.98,71.96,79.12,11.5078,11/09/2013
EWR,2013,9,11,1,78.08,71.96,81.5,9.20624,11/09/2013 01:00
EWR,2013,9,11,2,77,71.96,84.46,6.90468,11/09/2013 02:00
EWR,2013,9,11,3,75.92,71.96,87.55,8.05546,11/09/2013 03:00
EWR,2013,9,11,4,75.92,71.96,87.55,8.05546,11/09/2013 04:00
EWR,2013,9,11,5,75.02,71.96,90.22,4.60312,11/09/2013 05:00
EWR,2013,9,11,6,75.92,71.96,87.55,10.35702,11/09/2013 06:00
EWR,2013,9,11,7,77,73.04,87.6,8.05546,11/09/2013 07:00
EWR,2013,9,11,8,80.06,73.04,79.2,8.05546,11/09/2013 08:00
EWR,2013,9,11,9,84.02,73.04,69.64,6.90468,11/09/2013 09:00
EWR,2013,9,11,10,87.98,73.94,63.25,6.90468,11/09/2013 10:00
EWR,2013,9,11,11,91.94,73.94,55.84,5.7539,11/09/2013 11:00
EWR,2013,9,11,12,93.02,75.02,55.99,8.05546,11/09/2013 12:00
EWR,2013,9,11,13,95,73.94,50.79,11.5078,11/09/2013 13:00
EWR,2013,9,11,14,93.92,73.04,50.94,16.11092,11/09/2013 14:00
EWR,2013,9,11,15,93.92,73.04,50.94,13.80936,11/09/2013 15:00
EWR,2013,9,11,16,93.92,71.96,49.12,13.80936,11/09/2013 16:00
EWR,2013,9,11,17,93.02,71.96,50.51,12.65858,11/09/2013 17:00
EWR,2013,9,11,18,89.96,71.96,55.58,16.11092,11/09/2013 18:00
EWR,2013,9,11,19,87.98,69.98,55.31,12.65858,11/09/2013 19:00
EWR,2013,9,11,20,87.08,71.06,59.05,9.20624,11/09/2013 20:00
EWR,2013,9,11,21,84.92,71.06,63.27,11.5078,11/09/2013 21:00
EWR,2013,9,11,22,84.02,71.06,65.13,6.90468,11/09/2013 22:00
EWR,2013,9,11,23,82.04,71.06,69.43,10.35702,11/09/2013 23:00
EWR,2013,9,12,0,80.06,71.06,74.07,10.35702,12/09/2013
EWR,2013,9,12,1,78.98,69.98,73.97,9.20624,12/09/2013 01:00
EWR,2013,9,12,2,78.08,69.98,76.19,6.90468,12/09/2013 02:00
EWR,2013,9,12,3,77,69.98,78.96,9.20624,12/09/2013 03:00
EWR,2013,9,12,4,75.92,69.98,81.85,6.90468,12/09/2013 04:00
EWR,2013,9,12,5,75.02,69.98,84.34,6.90468,12/09/2013 05:00
EWR,2013,9,12,6,75.02,69.98,84.34,6.90468,12/09/2013 06:00
EWR,2013,9,12,7,77,71.06,81.92,8.05546,12/09/2013 07:00
EWR,2013,9,12,8,78.98,71.06,76.74,10.35702,12/09/2013 08:00
EWR,2013,9,12,9,80.96,71.06,71.92,9.20624,12/09/2013 09:00
EWR,2013,9,12,10,82.04,71.06,69.43,9.20624,12/09/2013 10:00
EWR,2013,9,12,11,84.02,71.06,65.13,10.35702,12/09/2013 11:00
EWR,2013,9,12,12,80.96,68,64.77,19.56326,12/09/2013 12:00
EWR,2013,9,12,13,80.06,75.02,88.59,12.65858,12/09/2013 13:00
EWR,2013,9,12,14,82.4,71.96,71.59,8.05546,12/09/2013 14:00
EWR,2013,9,12,15,84.02,71.96,67.15,6.90468,12/09/2013 15:00
EWR,2013,9,12,16,82.04,71.06,69.43,9.20624,12/09/2013 16:00
EWR,2013,9,12,17,84.02,73.04,69.64,5.7539,12/09/2013 17:00
EWR,2013,9,12,18,82.4,73.4,74.28,11.5078,12/09/2013 18:00
EWR,2013,9,12,19,78.8,71.6,93.47,18.41248,12/09/2013 19:00
EWR,2013,9,12,20,71.6,69.08,93.47,5.7539,12/09/2013 20:00
EWR,2013,9,12,21,71.06,68,90.06,6.90468,12/09/2013 21:00
EWR,2013,9,12,22,69.98,68,93.44,6.90468,12/09/2013 22:00
EWR,2013,9,12,23,71.06,68,90.06,6.90468,12/09/2013 23:00
EWR,2013,9,13,0,69.98,66.92,90.02,5.7539,13/09/2013
EWR,2013,9,13,1,69.08,66.92,92.83,5.7539,13/09/2013 01:00
EWR,2013,9,13,2,69.98,66.02,87.26,4.60312,13/09/2013 02:00
EWR,2013,9,13,3,69.08,66.02,89.98,4.60312,13/09/2013 03:00
EWR,2013,9,13,4,68,66.02,93.38,4.60312,13/09/2013 04:00
EWR,2013,9,13,5,68,66.02,93.38,5.7539,13/09/2013 05:00
EWR,2013,9,13,6,68,64.94,89.94,9.20624,13/09/2013 06:00
EWR,2013,9,13,7,68,62.06,81.29,6.90468,13/09/2013 07:00
EWR,2013,9,13,8,69.98,60.98,73.11,10.35702,13/09/2013 08:00
EWR,2013,9,13,9,73.04,60.98,65.9,10.35702,13/09/2013 09:00
EWR,2013,9,13,10,71.06,57.92,63.18,17.2617,13/09/2013 10:00
EWR,2013,9,13,11,69.98,57.92,65.54,10.35702,13/09/2013 11:00
EWR,2013,9,13,12,71.96,59,63.7,11.5078,13/09/2013 12:00
EWR,2013,9,13,13,77,57.92,51.76,10.35702,13/09/2013 13:00
EWR,2013,9,13,14,78.08,55.94,46.49,13.80936,13/09/2013 14:00
EWR,2013,9,13,15,75.92,55.04,48.34,16.11092,13/09/2013 15:00
EWR,2013,9,13,16,73.94,53.96,49.66,21.86482,13/09/2013 16:00
EWR,2013,9,13,17,73.04,51.98,47.59,21.86482,13/09/2013 17:00
EWR,2013,9,13,18,69.98,51.08,51.07,12.65858,13/09/2013 18:00
EWR,2013,9,13,19,68,51.08,54.66,12.65858,13/09/2013 19:00
EWR,2013,9,13,20,64.94,48.92,56.08,18.41248,13/09/2013 20:00
EWR,2013,9,13,21,62.96,48.92,60.11,11.5078,13/09/2013 21:00
EWR,2013,9,13,22,60.98,48.92,64.46,10.35702,13/09/2013 22:00
EWR,2013,9,13,23,60.08,48.92,66.56,10.35702,13/09/2013 23:00
EWR,2013,9,14,0,59,46.04,62.07,11.5078,14/09/2013
EWR,2013,9,14,1,57.92,46.94,66.75,9.20624,14/09/2013 01:00
EWR,2013,9,14,2,57.02,46.04,66.65,10.35702,14/09/2013 02:00
EWR,2013,9,14,3,55.94,44.96,66.52,8.05546,14/09/2013 03:00
EWR,2013,9,14,4,55.94,44.96,66.52,9.20624,14/09/2013 04:00
EWR,2013,9,14,5,55.04,44.96,68.73,10.35702,14/09/2013 05:00
EWR,2013,9,14,6,55.04,44.06,66.41,11.5078,14/09/2013 06:00
EWR,2013,9,14,7,55.94,44.06,64.28,9.20624,14/09/2013 07:00
EWR,2013,9,14,8,59,44.06,57.57,14.96014,14/09/2013 08:00
EWR,2013,9,14,9,60.98,44.06,53.65,13.80936,14/09/2013 09:00
EWR,2013,9,14,10,64.04,44.96,49.85,14.96014,14/09/2013 10:00
EWR,2013,9,14,11,64.94,46.04,50.32,12.65858,14/09/2013 11:00
EWR,2013,9,14,12,66.02,46.04,48.47,10.35702,14/09/2013 12:00
EWR,2013,9,14,13,66.02,46.04,48.47,10.35702,14/09/2013 13:00
EWR,2013,9,14,14,64.94,46.04,50.32,12.65858,14/09/2013 14:00
EWR,2013,9,14,15,64.94,46.04,50.32,11.5078,14/09/2013 15:00
EWR,2013,9,14,16,66.92,46.04,46.98,12.65858,14/09/2013 16:00
EWR,2013,9,14,17,64.94,46.04,50.32,16.11092,14/09/2013 17:00
EWR,2013,9,14,18,60.98,44.96,55.52,13.80936,14/09/2013 18:00
EWR,2013,9,14,19,59,44.06,57.57,9.20624,14/09/2013 19:00
EWR,2013,9,14,20,57.02,44.96,63.97,10.35702,14/09/2013 20:00
EWR,2013,9,14,21,55.94,44.96,66.52,6.90468,14/09/2013 21:00
EWR,2013,9,14,22,53.96,44.96,71.49,3.45234,14/09/2013 22:00
EWR,2013,9,14,23,53.96,44.96,71.49,5.7539,14/09/2013 23:00
EWR,2013,9,15,0,53.96,44.06,69.08,3.45234,15/09/2013
EWR,2013,9,15,1,53.96,44.06,69.08,3.45234,15/09/2013 01:00
EWR,2013,9,15,2,51.08,44.06,76.8,4.60312,15/09/2013 02:00
EWR,2013,9,15,3,51.08,44.96,79.48,4.60312,15/09/2013 03:00
EWR,2013,9,15,4,50,44.06,79.94,9.20624,15/09/2013 04:00
EWR,2013,9,15,5,48.92,44.06,83.23,5.7539,15/09/2013 05:00
EWR,2013,9,15,6,50,42.98,76.71,3.45234,15/09/2013 06:00
EWR,2013,9,15,7,55.04,44.06,66.41,3.45234,15/09/2013 07:00
EWR,2013,9,15,8,57.92,44.96,61.93,3.45234,15/09/2013 08:00
EWR,2013,9,15,9,62.06,44.96,53.44,5.7539,15/09/2013 09:00
